"ZIP_Code"|"All_LCC_Enc_Jan__June"|"ALL_LCC_Encounters_2018_JulDec"|"Black"|"White"|"Asian"|"MultiRacial"|"Other"|"Not_Reported"|"HispanicLatino"|"Not_HispanicLatino"|"Unknown"|"Male"|"Female"
"28275"|"1"|"2"|"0"|"1"|"0"|"0"|"0"|"1"|"2"|"0"|"0"|"0"|"2"
"28277"|"29"|"39"|"3"|"9"|"2"|"5"|"9"|"11"|"14"|"10"|"15"|"7"|"32"
"28278"|"39"|"30"|"4"|"1"|"1"|"4"|"12"|"8"|"21"|"3"|"6"|"7"|"23"
"28299"|"0"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"2"|"0"|"0"|"0"|"2"
"28692"|"0"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"0"|"0"|"2"|"0"|"2"
"29706"|"0"|"2"|"1"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"0"|"2"
"29707"|"4"|"1"|"0"|"0"|"0"|"0"|"1"|"0"|"1"|"0"|"0"|"0"|"1"
"29708"|"1"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"0"|"0"|"2"|"2"|"0"
"29710"|"0"|"3"|"1"|"2"|"0"|"0"|"0"|"0"|"0"|"0"|"3"|"0"|"3"
"29720"|"0"|"5"|"2"|"0"|"0"|"0"|"0"|"3"|"3"|"2"|"0"|"0"|"5"
"29730"|"1"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"0"|"0"|"1"|"0"
"29745"|"2"|"1"|"0"|"0"|"0"|"0"|"0"|"1"|"1"|"0"|"0"|"0"|"1"
"47424"|"0"|"2"|"0"|"2"|"0"|"0"|"0"|"0"|"0"|"2"|"0"|"0"|"2"
